,year,iso_a3,country_name,Year,local_price,dollar_ex,dollar_price,big_mac_index,relative_PPP
123,2006,CHE,Switzerland,2006,6.3,1.243225,5.067465663898329,62.158901244746524,1.1594866755424942
124,2006,CHL,Chile,2006,1560.0,526.35,2.963807352522086,-5.158164719293257,93.79736100286011
125,2006,CHN,China,2006,10.5,8.04505,1.305150371967856,-58.23518809702861,8.321130885096963
126,2006,CZE,Czech Republic,2006,60.525,22.97265,2.6346546872041317,-15.691050009467789,36.06313366316516
127,2006,DNK,Denmark,2006,27.75,5.997574999999999,4.626870026635766,48.059840852344514,18.100297435118776
128,2006,GBR,Britain,2006,1.91,0.5493636534999999,3.4767498501791585,11.255995205733083,-1.5373857817477763
129,2006,HUN,Hungary,2006,560.0,206.65019999999998,2.709893336662631,-13.283413226795805,84.43789494899052
130,2006,IDN,Indonesia,2006,14600.0,9392.5,1.554431727442108,-50.25818472185255,99.30915352566366
131,2006,JPN,Japan,2006,250.0,113.20500000000001,2.208383021951327,-29.331743297557534,70.79760485087104
132,2006,KOR,South Korea,2006,2500.0,964.925,2.5908749384667202,-17.092001969064953,96.05419711775129
133,2006,MEX,Mexico,2006,28.5,10.9228,2.6092210788442523,-16.50492547698392,20.148466086502527
134,2006,NZL,New Zealand,2006,4.45,1.533855,2.901186878811883,-7.162019878019743,1.4828273060680874
135,2006,POL,Poland,2006,6.5,3.107125,2.0919660457818723,-33.05708653498009,4.138999018045191
136,2006,RUS,Russia,2006,47.0,27.866875,1.6865902617354833,-46.029111624464534,30.82544880154049
137,2006,SWE,Sweden,2006,33.0,7.498225,4.401041579840562,40.833330554898,21.502976255758973
138,2006,USA,United States,2006,3.125,1.0,3.125,0.0,0.0
139,2006,ZAF,South Africa,2006,13.95,6.33865,2.20078407862873,-29.57490948388064,10.310852059123537
140,2007,AUS,Australia,2007,3.45,1.2184325,2.831506874611437,-14.585011323938557,0.5978667234302204
141,2007,BRA,Brazil,2007,6.65,2.02325,3.2867910539972818,-0.8509485973670738,3.1535011214277717
142,2007,CAN,Canada,2007,3.755,1.11415,3.3702822779697525,1.667640361078493,0.3707943925885474
143,2007,CHE,Switzerland,2007,6.3,1.2298499999999999,5.122575923893158,54.52717719134712,1.1076425927627866
144,2007,CHL,Chile,2007,1617.5,533.45,3.0321492173587026,-8.532451965046695,94.00103934687868
145,2007,CHN,China,2007,11.0,7.689500000000001,1.430522140581312,-56.84699425094082,8.62115122470152
146,2007,CZE,Czech Republic,2007,52.5,21.30895,2.4637534932504885,-25.678627654585572,32.810653447048864
147,2007,DNK,Denmark,2007,27.75,5.606675,4.949457566204568,49.30490395790552,17.847782727041434
148,2007,GBR,Britain,2007,1.9649999999999999,0.5013225465,3.9196322082832955,18.239282301155214,-1.9169638682717558
149,2007,HUN,Hungary,2007,595.0,187.31715,3.1764309888336437,-4.180060668668373,85.15447036131889
150,2007,IDN,Indonesia,2007,15900.0,9052.5,1.7564208782104391,-47.015961441615715,99.36402236951119
151,2007,JPN,Japan,2007,280.0,121.94999999999999,2.2960229602296027,-30.73837224043432,73.07999395783432
152,2007,KOR,South Korea,2007,2900.0,931.325,3.113843180415,-6.068079022171958,96.56287189398616
153,2007,MEX,Mexico,2007,29.0,10.828475000000001,2.6781241125827964,-19.211942305194686,20.4045549514862
154,2007,NZL,New Zealand,2007,4.6,1.3538299999999999,3.3977678142750567,2.4967666447980763,1.149361554230347
155,2007,POL,Poland,2007,6.9,2.8618,2.411069955971766,-27.267874631319277,4.199186196471688
156,2007,RUS,Russia,2007,50.5,26.090875,1.9355425987054862,-41.61259129093556,32.268742459331904
157,2007,SWE,Sweden,2007,32.5,6.916449999999999,4.69894237650818,41.74788466088022,20.98193028188062
158,2007,USA,United States,2007,3.3150000000000004,1.0,3.3150000000000004,0.0,0.0
159,2007,ZAF,South Africa,2007,15.5,7.040375,2.2015872734051807,-33.58711090783769,11.513777252463047
160,2008,AUS,Australia,2008,3.45,1.026,3.3625730994152048,-5.8102773273051795,0.08451126204426816
161,2008,BRA,Brazil,2008,7.5,1.5846,4.73305566073457,32.57858993654259,2.5739017109445856
162,2008,CAN,Canada,2008,4.09,1.00355,4.07553186189029,14.16055635547031,0.013899642722365511
163,2008,CHE,Switzerland,2008,6.5,1.02215,6.359144939588123,78.12730923216034,0.13225827268720805
164,2008,CHL,Chile,2008,1550.0,494.65,3.13352875770747,-12.226085218278138,93.74948310559348
165,2008,CHN,China,2008,12.5,6.834,1.8290898448931812,-48.76499033912658,9.485253471206063
166,2008,CZE,Czech Republic,2008,66.08,14.49795,4.557885770057146,27.671870309723978,37.04366222901183
167,2008,DNK,Denmark,2008,28.0,4.7044,5.9518748405747814,66.71918320937765,17.22509778080095
168,2008,GBR,Britain,2008,2.29,0.501039657,4.5704965026351205,28.025112118630837,-2.229442274547972
169,2008,HUN,Hungary,2008,670.0,144.2578,4.644462899059877,30.096999973666037,86.4098100131091
170,2008,IDN,Indonesia,2008,18700.0,9152.0,2.043269230769231,-42.76556776556776,99.45721665302781
171,2008,JPN,Japan,2008,280.0,106.855,2.6203734032099573,-26.60018478403481,72.99463857810264
172,2008,KOR,South Korea,2008,3200.0,1018.05,3.1432640832964984,-11.953387022507044,96.87444654293041
173,2008,MEX,Mexico,2008,32.0,10.1685,3.1469734965825835,-11.849481888443037,21.85835341167986
174,2008,NZL,New Zealand,2008,4.9,1.3177,3.7186005919405023,4.162481566960863,1.1262148789890354
175,2008,POL,Poland,2008,7.0,2.03145,3.4458145659504296,-3.478583586822692,3.3216686299528697
176,2008,RUS,Russia,2008,59.0,23.2336,2.5394256593898494,-28.867628588519622,35.50979518277368
177,2008,SWE,Sweden,2008,38.0,5.96085,6.374929749951769,78.56946078296272,22.916717572498722
178,2008,USA,United States,2008,3.57,1.0,3.57,0.0,0.0
179,2008,ZAF,South Africa,2008,16.95,7.56325,2.2411000561927743,-37.22408806182705,12.577084175978815
180,2009,AUS,Australia,2009,4.34,1.2869,3.3724454114538815,-5.533741976081741,0.9273093622255301
181,2009,BRA,Brazil,2009,8.03,1.9971,4.020830203795503,12.628297025084123,3.711163377029062
182,2009,CAN,Canada,2009,3.89,1.16085,3.3509928069948747,-6.13465526625,0.5188249042305568
183,2009,CHE,Switzerland,2009,6.5,1.08605,5.984991482896736,67.64682024920829,0.48357607239743117
184,2009,CHL,Chile,2009,1750.0,548.55,3.19022878497858,-10.637849160263857,94.42214979540657
185,2009,CHN,China,2009,12.5,6.8327,1.8294378503373483,-48.75524228746924,9.48494413303347
186,2009,CZE,Czech Republic,2009,67.92,18.66155,3.6395690604478195,1.9487131778100686,38.28039003070044
187,2009,DNK,Denmark,2009,29.5,5.3375,5.526932084309133,54.81602477056398,18.512021556518043
188,2009,GBR,Britain,2009,2.29,0.620886626,3.688274000606352,3.3129972158641996,-1.366970378928881
189,2009,HUN,Hungary,2009,720.0,199.1577,3.615225522287112,1.2668213525801608,87.36399688752596
